업종구분명,교습과정명,시설위치_경도,시설위치_위도
교습소,{'음악'},127.04891869999999,37.1462791
교습소,{'미술'},127.04891869999999,37.1462791
교습소,{'보습'},127.052419,37.14580915
학교교과교습학원,"{'종합', '사', '수', '논술', '국', '과'}",127.04891869999999,37.1462791
학교교과교습학원,"{'피아노', '이상', '체르니'}",127.04891869999999,37.1462791
학교교과교습학원,"{'바이올린', '플룻', '관현악'}",127.04891869999999,37.1462791
학교교과교습학원,"{'피아노', '바이엘'}",127.04891869999999,37.1462791
학교교과교습학원,{'영어'},127.04891869999999,37.1462791
학교교과교습학원,"{'피아노', '체르니'}",127.04891869999999,37.1462791
학교교과교습학원,"{'종합', '초등'}",127.0460267,37.14755968
학교교과교습학원,"{'피아노', '체르니'}",127.04891869999999,37.1462791
학교교과교습학원,"{'수학', '스쿨'}",127.0687522,37.13392538
학교교과교습학원,{'한국사'},127.0687522,37.13392538
학교교과교습학원,{'피아노'},127.06872560000001,37.12923093
학교교과교습학원,"{'수학', '저학년', '논술'}",127.0687522,37.13392538
교습소,{'미술'},127.06707379999999,37.13206113
교습소,{'보습'},127.07113580000001,37.13139209
교습소,{'음악'},127.0797771,37.12991808
교습소,{'보습'},127.07113580000001,37.13139209
학교교과교습학원,{'일본어'},127.0687522,37.13392538
학교교과교습학원,{'체르니'},127.0685281,37.13511489
학교교과교습학원,{'플룻'},127.07094440000002,37.13133813
학교교과교습학원,"{'종합', '사', '과', '국', '영', '수'}",127.070922,37.131473299999996
학교교과교습학원,"{'피아노', '단계'}",127.06872560000001,37.12923093
학교교과교습학원,"{'피아노', '고급'}",127.07113580000001,37.13139209
학교교과교습학원,"{'수학', '초등'}",127.0685281,37.13511489
학교교과교습학원,"{'영어', '초반'}",127.0686973,37.13550225
학교교과교습학원,"{'영어', '고급', '반'}",127.0686973,37.13550225
학교교과교습학원,"{'영어', '특강', '회화', '반'}",127.0686973,37.13550225
학교교과교습학원,"{'영어', '똑똑'}",127.0687522,37.13392538
학교교과교습학원,{'한자'},127.0687522,37.13392538
학교교과교습학원,"{'피아노', '단계'}",127.06872560000001,37.12923093
학교교과교습학원,"{'영어', '등심', '반'}",127.0686973,37.13550225
학교교과교습학원,{'수학'},127.0687522,37.13392538
학교교과교습학원,{'사회'},127.0687522,37.13392538
학교교과교습학원,"{'영어', '초등'}",127.0685281,37.13511489
학교교과교습학원,"{'수학', '초등'}",127.0685281,37.13511489
학교교과교습학원,"{'독서실', '개월'}",127.0687522,37.13392538
학교교과교습학원,"{'수학', '와락'}",127.0687522,37.13392538
학교교과교습학원,{'수학'},127.0687522,37.13392538
학교교과교습학원,"{'사회', '와락'}",127.0687522,37.13392538
학교교과교습학원,"{'피아노', '중'}",127.06707379999999,37.13206113
학교교과교습학원,"{'피아노', '급'}",127.07094440000002,37.13133813
학교교과교습학원,{'바이올린'},127.07094440000002,37.13133813
학교교과교습학원,"{'수학', '초등', '심화', '반'}",127.0686973,37.13550225
학교교과교습학원,"{'종합', '수학', '과목', '반'}",127.0687522,37.13392538
학교교과교습학원,"{'영어', '초등'}",127.0685281,37.13511489
학교교과교습학원,{'독서'},127.0687522,37.13392538
학교교과교습학원,"{'스쿨', '국어'}",127.0687522,37.13392538
학교교과교습학원,"{'과목', '초등'}",127.0712243,37.12969806
학교교과교습학원,"{'피아노', '체르니'}",127.0731383,37.13064304
학교교과교습학원,"{'영어', '초등'}",127.0685281,37.13511489
학교교과교습학원,"{'영역', '국어'}",127.0687522,37.13392538
학교교과교습학원,{'똑똑'},127.0687522,37.13392538
학교교과교습학원,{'수학'},127.070922,37.131473299999996
학교교과교습학원,{'기타'},127.07094440000002,37.13133813
학교교과교습학원,"{'피아노', '급'}",127.07113580000001,37.13139209
학교교과교습학원,"{'스쿨', '국어'}",127.0687522,37.13392538
학교교과교습학원,"{'와락', '국어'}",127.0687522,37.13392538
학교교과교습학원,{'미술'},127.0731383,37.13064304
학교교과교습학원,"{'피아노', '초', '바이엘'}",127.0731383,37.13064304
학교교과교습학원,"{'피아노', '체르니'}",127.0731383,37.13064304
학교교과교습학원,"{'수학', '중등', '초'}",127.07302630000001,37.13128286
학교교과교습학원,"{'피아노', '초'}",127.0687522,37.13392538
학교교과교습학원,"{'종합', '초등'}",127.0685281,37.13511489
학교교과교습학원,"{'영어', '초등'}",127.0685281,37.13511489
학교교과교습학원,"{'영어', '초', '중등'}",127.07302630000001,37.13128286
학교교과교습학원,"{'수학', '스쿨'}",127.0687522,37.13392538
학교교과교습학원,{'국어'},127.0687522,37.13392538
학교교과교습학원,{'영어'},127.0687522,37.13392538
학교교과교습학원,"{'피아노', '초'}",127.07094440000002,37.13133813
학교교과교습학원,"{'수학', '과반'}",127.0687522,37.13392538
학교교과교습학원,"{'피아노', '급'}",127.0687522,37.13392538
학교교과교습학원,"{'피아노', '고급'}",127.0687522,37.13392538
학교교과교습학원,"{'와락', '과학'}",127.0687522,37.13392538
학교교과교습학원,"{'수학', '논술'}",127.0687522,37.13392538
학교교과교습학원,{'첼로'},127.0687522,37.13392538
학교교과교습학원,"{'영어', '초등'}",127.0712243,37.12969806
학교교과교습학원,{'문법'},127.0687522,37.13392538
학교교과교습학원,{'사회'},127.0687522,37.13392538
학교교과교습학원,{'일본어'},127.0687522,37.13392538
학교교과교습학원,{'우쿨렐레'},127.06707379999999,37.13206113
학교교과교습학원,{'체르니'},127.0685281,37.13511489
학교교과교습학원,"{'리딩', '영어', '특강', '문법', '반'}",127.0686973,37.13550225
학교교과교습학원,"{'입시', '성악'}",127.0687522,37.13392538
